service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2773715,0,0,0,0,0,0,0,20190727,20190824
12773714,0,0,0,0,0,0,0,20190730,20190824
2773714,0,0,0,0,0,0,0,20190729,20190823
12773712,0,0,0,0,0,0,0,20190827,20190831
12787699,0,0,0,0,0,0,0,20190429,20191021
2773712,0,0,0,0,0,0,0,20190826,20190830
12773711,0,0,0,0,0,0,0,20190716,20190727
12787698,0,0,0,0,0,0,0,20190428,20190915
2787698,0,0,0,0,0,0,0,20190427,20190914
2773711,0,0,0,0,0,0,0,20190715,20190726
12787697,0,0,0,0,0,0,0,20190505,20191020
2773710,0,0,0,0,0,0,0,20190621,20190621
2787699,0,0,0,0,0,0,0,20190428,20191020
12773716,0,0,0,0,0,0,0,20190721,20190901
12773715,0,0,0,0,0,0,0,20190728,20190825
2787697,0,0,0,0,0,0,0,20190504,20191019
12845673,0,0,0,0,0,0,0,20190426,20190628
12773710,0,0,0,0,0,0,0,20190622,20190622
2773716,0,0,0,0,0,0,0,20190720,20190831
12928852,0,0,0,0,0,0,0,20190425,20190425
12852774,0,0,0,0,0,0,0,20190427,20190629
2852774,0,0,0,0,0,0,0,20190426,20190628
12787700,0,0,0,0,0,0,0,20190513,20190916
2773704,0,0,0,0,0,0,0,20190721,20190825
2928852,0,0,0,0,0,0,0,20190424,20190424
2874384,0,0,0,0,0,0,0,20190429,20191022
12773704,0,0,0,0,0,0,0,20190722,20190826
12773705,0,0,0,0,0,0,0,20190715,20190715
2845673,0,0,0,0,0,0,0,20190425,20190627
2919387,0,0,0,0,0,0,0,20190505,20190505
2874385,0,0,0,0,0,0,0,20190510,20190913
2773705,0,0,0,0,0,0,0,20190714,20190714
12874384,0,0,0,0,0,0,0,20190430,20191023
2919386,0,0,0,0,0,0,0,20190506,20190506
12874385,0,0,0,0,0,0,0,20190511,20190914
12919386,0,0,0,0,0,0,0,20190507,20190507
2787700,0,0,0,0,0,0,0,20190512,20190915
12919387,0,0,0,0,0,0,0,20190506,20190506
